,amplicon,mean,mean+2std,mean-2std,min
431,19-11241697-11241966-PGD139_LDLR_64,2974.4438502673797,4271.924006623627,1676.9636939111322,834
610,2-21253853-21254122-PGD139_APOB_163,3010.4652406417113,3903.5981646078744,2117.332316675548,1290
19,1-25873216-25873469-PGD139_LDLRAP1_21,3071.422459893048,3934.831900956557,2208.0130188295393,1265
409,19-11226981-11227196-PGD139_LDLR_42,3123.9732620320856,5024.700858236869,1223.2456658273027,823
679,2-21265712-21265985-PGD139_APOB_232,3127.144385026738,4332.668026228712,1921.6207438247636,1035
664,2-21263171-21263436-PGD139_APOB_217,3189.620320855615,4183.015736857178,2196.2249048540516,910
277,1-55526018-55526273-PGD139_PCSK9_125,3200.572192513369,4585.894217693611,1815.2501673331274,1326
294,1-55528891-55529137-PGD139_PCSK9_142,3218.005347593583,4093.3505758905117,2342.660119296654,1393
439,19-45409874-45410075-PGD139_APOE_6,3242.347593582888,4207.403794591795,2277.291392573981,1954
548,2-21242232-21242480-PGD139_APOB_101,3262.133689839572,4148.599302800645,2375.6680768784986,2181
645,2-21259808-21260061-PGD139_APOB_198,3301.9679144385027,4750.493956587783,1853.4418722892224,1029
574,2-21246736-21246978-PGD139_APOB_127,3302.433155080214,4210.394405667798,2394.4719044926296,2330
678,2-21265523-21265772-PGD139_APOB_231,3338.4117647058824,4400.029532970432,2276.7939964413326,2115
656,2-21262037-21262308-PGD139_APOB_209,3339.8021390374333,4274.069578807148,2405.5346992677187,1189
413,19-11230685-11230960-PGD139_LDLR_46,3394.288770053476,5103.510905943198,1685.0666341637545,410
648,2-21260388-21260634-PGD139_APOB_201,3421.7272727272725,4608.842155074604,2234.612390379941,2068
538,2-21240442-21240681-PGD139_APOB_91,3467.475935828877,5002.425177690172,1932.5266939675819,1984
666,2-21263573-21263813-PGD139_APOB_219,3483.0160427807486,4437.341419000078,2528.690666561419,2143
442,19-45411116-45411382-PGD139_APOE_9,3486.3101604278077,5402.12745709482,1570.4928637607954,1162
232,1-55518251-55518498-PGD139_PCSK9_80,3492.4010695187167,5062.1468123699915,1922.6553266674418,500
556,2-21243501-21243747-PGD139_APOB_109,3500.379679144385,4596.982900266743,2403.7764580220273,2227
376,19-11210995-11211261-PGD139_LDLR_9,3516.7540106951874,5135.305564708784,1898.2024566815912,784
372,19-11200413-11200571-PGD139_LDLR_5,3521.668449197861,5142.948186948195,1900.388711447527,1489
